REGIAO;IDADE;TOTAL_CASOS;TOTAL_FEM;TOTAL_MASC
Norte;15 - 19;0;0;0
Norte;20 - 29;1;1;0
Norte;30 - 39;2;2;0
Norte;40 - 49;4;2;2
Norte;50 - 59;3;2;1
Norte;60 - 69;3;2;1
Norte;70 - 79;7;2;5
Norte;80+;5;2;3
Nordeste;15 - 19;1;0;1
Nordeste;20 - 29;1;0;1
Nordeste;30 - 39;14;5;9
Nordeste;40 - 49;15;9;6
Nordeste;50 - 59;17;10;7
Nordeste;60 - 69;19;13;6
Nordeste;70 - 79;31;17;14
Nordeste;80+;30;20;10
Sudeste;15 - 19;1;1;0
Sudeste;20 - 29;2;2;0
Sudeste;30 - 39;15;12;3
Sudeste;40 - 49;25;17;8
Sudeste;50 - 59;25;12;13
Sudeste;60 - 69;36;25;11
Sudeste;70 - 79;32;22;10
Sudeste;80+;44;29;15
Sul;15 - 19;1;1;0
Sul;20 - 29;3;2;1
Sul;30 - 39;6;3;3
Sul;40 - 49;14;8;6
Sul;50 - 59;22;13;9
Sul;60 - 69;15;7;8
Sul;70 - 79;20;9;11
Sul;80+;22;12;10
Centro-Oeste;15 - 19;0;0;0
Centro-Oeste;20 - 29;2;2;0
Centro-Oeste;30 - 39;3;3;0
Centro-Oeste;40 - 49;5;2;3
Centro-Oeste;50 - 59;5;4;1
Centro-Oeste;60 - 69;3;2;1
Centro-Oeste;70 - 79;5;3;2
Centro-Oeste;80+;10;5;5
